cig;data_pubblicazione;importo_lotto;flag_quote_deroga;quota_femminile;quota_giovani;cod_mot_deroga;motivo_deroga;flag_misure_premiali;codice_mis_prem;misura_premiale
A01C3C50B3;2024-01-01;684237.2;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];2;UTILIZZI O SI IMPEGNI A UTILIZZARE SPECIFICI STRUMENTI DI CONCILIAZIONE DELLE ESIGENZE DI CURA, DI VITA E DI LAVORO PER I PROPRI DIPENDENTI, NONCHÉ MODALITÀ INNOVATIVE DI ORGANIZZAZIONE DEL LAVORO
A01C3C50B3;2024-01-01;684237.2;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];4;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE, DONNE PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A01C3C50B3;2024-01-01;684237.2;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A01C3C50B3;2024-01-01;684237.2;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];8;ABBIA, NELL'ULTIMO TRIENNIO, RISPETTATO GLI OBBLIGHI DI CUI ALLA LEGGE 12 MARZO 1999, N. 68 IN MATERIA DI LAVORO DELLE PERSONE DISABILI
A01C3C50B3;2024-01-01;684237.2;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];10;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI DI GENERE
A01C3C50B3;2024-01-01;684237.2;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];11;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI INTERGENERAZIONALI
A0297CD9F6;2024-01-02;219664.6;S;;;;;[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A044BA22EC;2024-01-02;13920.0;S;;;;;[];1;NEI TRE ANNI ANTECEDENTI LA DATA DI SCADENZA DEL TERMINE DI PRESENTAZIONE DELLE OFFERTE, NON RISULTI DESTINATARIO DI ACCERTAMENTI RELATIVI AD ATTI O COMPORTAMENTI DISCRIMINATORI AI SENSI DELL'ARTICOLO 44 DEL D.LGS 25 LUGLIO 1998, N. 286, DELL'ARTICOLO 4 DEL 9 LUGLIO 2003, N. 215, DELL'ARTICOLO 4 DEL D.LGS 9 LUGLIO 2003, N. 216, DELL'ARTICOLO 3 DELLA LEGGE 1° MARZO 2006, N. 67, DEGLI ARTICOLI 35 E 55-QUINQUIES DEL D.LGS. 11 APRILE 2006, N. 198, OVVERO DELL'ARTICOLO 54 DEL D.LGS. 26 MARZO 2001, N. 151
A01E437705;2024-01-03;1489067.55;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];2;UTILIZZI O SI IMPEGNI A UTILIZZARE SPECIFICI STRUMENTI DI CONCILIAZIONE DELLE ESIGENZE DI CURA, DI VITA E DI LAVORO PER I PROPRI DIPENDENTI, NONCHÉ MODALITÀ INNOVATIVE DI ORGANIZZAZIONE DEL LAVORO
A01E437705;2024-01-03;1489067.55;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];4;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE, DONNE PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A01E437705;2024-01-03;1489067.55;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];5;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE GIOVANI DI ETÀ INFERIORE A TRENTASEI ANNI PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
A01E437705;2024-01-03;1489067.55;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];8;ABBIA, NELL'ULTIMO TRIENNIO, RISPETTATO GLI OBBLIGHI DI CUI ALLA LEGGE 12 MARZO 1999, N. 68 IN MATERIA DI LAVORO DELLE PERSONE DISABILI
A01E437705;2024-01-03;1489067.55;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];10;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI DI GENERE
A01E437705;2024-01-03;1489067.55;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];11;ALTRO CRITERIO DI RESPONSABILITÀ SOCIALE NEI CONFRONTI DEI DIVARI INTERGENERAZIONALI
A01E63D27E;2024-01-03;1358265.6;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];2;UTILIZZI O SI IMPEGNI A UTILIZZARE SPECIFICI STRUMENTI DI CONCILIAZIONE DELLE ESIGENZE DI CURA, DI VITA E DI LAVORO PER I PROPRI DIPENDENTI, NONCHÉ MODALITÀ INNOVATIVE DI ORGANIZZAZIONE DEL LAVORO
A01E63D27E;2024-01-03;1358265.6;Q;15.0;30.0;[2,5];"[""MERCATO DI RIFERIMENTO"",""SCARSA OCCUPAZIONE FEMMINILE NEL SETTORE""]";[];4;SI IMPEGNI AD ASSUMERE, OLTRE ALLA SOGLIA MINIMA PERCENTUALE PREVISTA COME REQUISITO DI PARTECIPAZIONE, DONNE PER L'ESECUZIONE DEL CONTRATTO O PER LA REALIZZAZIONE DI ATTIVITÀ AD ESSO CONNESSE O STRUMENTALI
